JPM,,,GS,,,MS,,,C,,,BAC,,,WFC,
Date:,Stock Price:,,Date:,Stock Price:,,Date:,Stock Price:,,Date:,Stock Price:,,Date:,Stock Price:,,Date:,Stock Price:
04/05/2018,111.88,,04/05/2018,255.81,,04/05/2018,54.86,,04/05/2018,70.22,,04/05/2018,30.32,,04/05/2018,53.26
04/06/2018,109.09,,04/06/2018,249.97,,04/06/2018,53.04,,04/06/2018,68.6,,04/06/2018,29.63,,04/06/2018,52.23
04/09/2018,110.4,,04/09/2018,252.19,,04/09/2018,53.35,,04/09/2018,69.44,,04/09/2018,29.87,,04/09/2018,52.25
04/10/2018,112.51,,04/10/2018,256.57,,04/10/2018,54.14,,04/10/2018,70.51,,04/10/2018,30.48,,04/10/2018,52.62
04/11/2018,110.62,,04/11/2018,252.94,,04/11/2018,52.74,,04/11/2018,69.89,,04/11/2018,29.9,,04/11/2018,51.93
04/12/2018,113.37,,04/12/2018,259.59,,04/12/2018,53.85,,04/12/2018,72.13,,04/12/2018,30.65,,04/12/2018,52.7
4/13/2018,110.3,,4/13/2018,255.92,,4/13/2018,52.98,,4/13/2018,71.01,,4/13/2018,29.8,,4/13/2018,50.89
4/16/2018,110.21,,4/16/2018,257.88,,4/16/2018,53.4,,4/16/2018,70.07,,4/16/2018,29.93,,4/16/2018,50.8
4/17/2018,110.21,,4/17/2018,253.63,,4/17/2018,53.24,,4/17/2018,69.74,,4/17/2018,30.04,,4/17/2018,50.57
4/18/2018,109.32,,4/18/2018,254,,4/18/2018,53.26,,4/18/2018,68.98,,4/18/2018,29.53,,4/18/2018,50.39
4/19/2018,111.72,,4/19/2018,254.17,,4/19/2018,54.7,,4/19/2018,70.28,,4/19/2018,30.18,,4/19/2018,51.54
4/20/2018,111.47,,4/20/2018,251.96,,4/20/2018,54.46,,4/20/2018,70,,4/20/2018,30.26,,4/20/2018,52.56
4/23/2018,110.93,,4/23/2018,246.67,,4/23/2018,53.64,,4/23/2018,69.48,,4/23/2018,30.32,,4/23/2018,52.61
4/24/2018,110.41,,4/24/2018,242.49,,4/24/2018,53.07,,4/24/2018,69.12,,4/24/2018,30.19,,4/24/2018,52.51
4/25/2018,109.99,,4/25/2018,239.23,,4/25/2018,52.04,,4/25/2018,69.36,,4/25/2018,30.14,,4/25/2018,53.11
4/26/2018,110.1,,4/26/2018,240.09,,4/26/2018,52.2,,4/26/2018,69.18,,4/26/2018,30.07,,4/26/2018,52.44
4/27/2018,109.4,,4/27/2018,239.8,,4/27/2018,51.86,,4/27/2018,68.99,,4/27/2018,30.15,,4/27/2018,52.36
4/30/2018,108.78,,4/30/2018,238.33,,4/30/2018,51.62,,4/30/2018,68.27,,4/30/2018,29.92,,4/30/2018,51.96
05/01/2018,108.78,,05/01/2018,236.67,,05/01/2018,51.81,,05/01/2018,68.25,,05/01/2018,29.95,,05/01/2018,52.56
05/02/2018,107.92,,05/02/2018,234.05,,05/02/2018,51.7,,05/02/2018,67.99,,05/02/2018,29.58,,05/02/2018,52.19
05/03/2018,107.24,,05/03/2018,233.41,,05/03/2018,51.08,,05/03/2018,67.94,,05/03/2018,29.2,,05/03/2018,51.54
05/04/2018,108.43,,05/04/2018,234.94,,05/04/2018,51.4,,05/04/2018,67.94,,05/04/2018,29.3,,05/04/2018,52.41
05/07/2018,109.37,,05/07/2018,237.2,,05/07/2018,52.39,,05/07/2018,68.5,,05/07/2018,29.64,,05/07/2018,52.66
05/08/2018,110.99,,05/08/2018,237,,05/08/2018,53.38,,05/08/2018,71,,05/08/2018,29.93,,05/08/2018,53.19
05/09/2018,113.41,,05/09/2018,241.73,,05/09/2018,54.14,,05/09/2018,71.95,,05/09/2018,30.72,,05/09/2018,53.76
05/10/2018,114.29,,05/10/2018,243.44,,05/10/2018,55.04,,05/10/2018,72.57,,05/10/2018,30.89,,05/10/2018,54.65
05/11/2018,113.86,,05/11/2018,242.92,,05/11/2018,55.2,,05/11/2018,72.86,,05/11/2018,30.92,,05/11/2018,54.45
5/14/2018,113.9,,5/14/2018,243.91,,5/14/2018,55.22,,5/14/2018,72.62,,5/14/2018,31.12,,5/14/2018,54.48
5/15/2018,113.03,,5/15/2018,241.56,,5/15/2018,54.85,,5/15/2018,72.68,,5/15/2018,31.22,,5/15/2018,54.75
5/16/2018,113.34,,5/16/2018,240.96,,5/16/2018,54.97,,5/16/2018,71.95,,5/16/2018,31.06,,5/16/2018,55.04
5/17/2018,112.96,,5/17/2018,239.1,,5/17/2018,54.87,,5/17/2018,71.56,,5/17/2018,30.81,,5/17/2018,54.22
5/18/2018,111.13,,5/18/2018,237,,5/18/2018,53.92,,5/18/2018,69.96,,5/18/2018,30.26,,5/18/2018,53.7
5/21/2018,112.15,,5/21/2018,237.7,,5/21/2018,54.36,,5/21/2018,70.43,,5/21/2018,30.55,,5/21/2018,54.54
5/22/2018,113.01,,5/22/2018,238,,5/22/2018,54.88,,5/22/2018,71.08,,5/22/2018,30.89,,5/22/2018,55.26
5/23/2018,112.49,,5/23/2018,237.81,,5/23/2018,54.35,,5/23/2018,70.24,,5/23/2018,30.44,,5/23/2018,56.18
5/24/2018,111.23,,5/24/2018,236.1,,5/24/2018,54,,5/24/2018,69.31,,5/24/2018,30.21,,5/24/2018,54.67
5/25/2018,110.66,,5/25/2018,235.01,,5/25/2018,53.01,,5/25/2018,68.44,,5/25/2018,30.16,,5/25/2018,54.9
5/29/2018,105.93,,5/29/2018,227.03,,5/29/2018,49.96,,5/29/2018,65.71,,5/29/2018,28.96,,5/29/2018,52.95
5/30/2018,108.35,,5/30/2018,229.16,,5/30/2018,50.97,,5/30/2018,66.68,,5/30/2018,29.49,,5/30/2018,54.23
5/31/2018,107.01,,5/31/2018,225.88,,5/31/2018,50.14,,5/31/2018,66.69,,5/31/2018,29.04,,5/31/2018,53.99
06/01/2018,108.4,,06/01/2018,228.35,,06/01/2018,51.21,,06/01/2018,67.28,,06/01/2018,29.4,,06/01/2018,54.69
06/04/2018,108.45,,06/04/2018,229.89,,06/04/2018,51.55,,06/04/2018,67.34,,06/04/2018,29.4,,06/04/2018,54.83
06/05/2018,107.84,,06/05/2018,228.34,,06/05/2018,50.78,,06/05/2018,66.76,,06/05/2018,29.12,,06/05/2018,54.5
06/06/2018,110.36,,06/06/2018,232.23,,06/06/2018,51.91,,06/06/2018,68.23,,06/06/2018,30.04,,06/06/2018,55.58
06/07/2018,110.8,,06/07/2018,233.45,,06/07/2018,52.14,,06/07/2018,68.45,,06/07/2018,30.09,,06/07/2018,55.63
06/08/2018,111.11,,06/08/2018,233.39,,06/08/2018,51.91,,06/08/2018,68.47,,06/08/2018,30.01,,06/08/2018,55.68
06/11/2018,110.83,,06/11/2018,234.09,,06/11/2018,51.78,,06/11/2018,68.11,,06/11/2018,30.06,,06/11/2018,55.51
06/12/2018,110.19,,06/12/2018,232.63,,06/12/2018,51.32,,06/12/2018,67.61,,06/12/2018,29.9,,06/12/2018,55.38
6/13/2018,109.97,,6/13/2018,233.83,,6/13/2018,51.6,,6/13/2018,67.29,,6/13/2018,29.84,,6/13/2018,55.16
6/14/2018,108.03,,6/14/2018,233.65,,6/14/2018,51.31,,6/14/2018,66.16,,6/14/2018,29.5,,6/14/2018,54.74
6/15/2018,107.9,,6/15/2018,231.92,,6/15/2018,51.16,,6/15/2018,66.34,,6/15/2018,29.28,,6/15/2018,54.98
6/18/2018,108.18,,6/18/2018,231.39,,6/18/2018,50.77,,6/18/2018,66.75,,6/18/2018,29.4,,6/18/2018,55.08
6/19/2018,107.55,,6/19/2018,228.32,,6/19/2018,49.92,,6/19/2018,66.78,,6/19/2018,29.26,,6/19/2018,55.08
6/20/2018,107.54,,6/20/2018,227.82,,6/20/2018,49.89,,6/20/2018,67.38,,6/20/2018,29.24,,6/20/2018,54.48
6/21/2018,107.51,,6/21/2018,226.98,,6/21/2018,49.79,,6/21/2018,67.63,,6/21/2018,29.29,,6/21/2018,54.37
6/22/2018,105.75,,6/22/2018,226.02,,6/22/2018,48.89,,6/22/2018,67.2,,6/22/2018,28.99,,6/22/2018,53.94
6/25/2018,104.79,,6/25/2018,221.54,,6/25/2018,47.93,,6/25/2018,65.75,,6/25/2018,28.48,,6/25/2018,53.96
6/26/2018,104.86,,6/26/2018,221.58,,6/26/2018,47.79,,6/26/2018,66.31,,6/26/2018,28.54,,6/26/2018,53.43
6/27/2018,103.24,,6/27/2018,220.18,,6/27/2018,47.19,,6/27/2018,65.46,,6/27/2018,28.24,,6/27/2018,53.28
6/28/2018,104.93,,6/28/2018,223.42,,6/28/2018,48.29,,6/28/2018,66.88,,6/28/2018,28.67,,6/28/2018,53.63
6/29/2018,104.2,,6/29/2018,220.57,,6/29/2018,47.4,,6/29/2018,66.92,,6/29/2018,28.19,,6/29/2018,55.44
07/02/2018,105.08,,07/02/2018,223.26,,07/02/2018,47.72,,07/02/2018,67.16,,07/02/2018,28.28,,07/02/2018,56.32
07/03/2018,103.61,,07/03/2018,220.38,,07/03/2018,47.02,,07/03/2018,66.06,,07/03/2018,27.78,,07/03/2018,55.56
07/05/2018,103.72,,07/05/2018,220.74,,07/05/2018,46.7,,07/05/2018,66.56,,07/05/2018,27.92,,07/05/2018,55.24
07/06/2018,104.06,,07/06/2018,221.79,,07/06/2018,47.09,,07/06/2018,67.14,,07/06/2018,28.03,,07/06/2018,55.89
07/09/2018,107.28,,07/09/2018,227.99,,07/09/2018,48.41,,07/09/2018,68.94,,07/09/2018,29.05,,07/09/2018,56.77
07/10/2018,106.62,,07/10/2018,226.85,,07/10/2018,48.1,,07/10/2018,68.23,,07/10/2018,28.83,,07/10/2018,56.62
07/11/2018,106.39,,07/11/2018,225.66,,07/11/2018,47.75,,07/11/2018,67.91,,07/11/2018,28.68,,07/11/2018,56.07
07/12/2018,106.85,,07/12/2018,227.22,,07/12/2018,48.02,,07/12/2018,68.51,,07/12/2018,28.77,,07/12/2018,56.03
7/13/2018,106.36,,7/13/2018,226.41,,7/13/2018,48.08,,7/13/2018,67,,7/13/2018,28.55,,7/13/2018,55.36
7/16/2018,110.58,,7/16/2018,231.44,,7/16/2018,48.9,,7/16/2018,69.46,,7/16/2018,29.78,,7/16/2018,56.99
7/17/2018,110.5,,7/17/2018,231.02,,7/17/2018,49.18,,7/17/2018,69.35,,7/17/2018,30.01,,7/17/2018,56.56
7/18/2018,111.53,,7/18/2018,231.24,,7/18/2018,50.56,,7/18/2018,69.85,,7/18/2018,30.13,,7/18/2018,56.57
7/19/2018,109.89,,7/19/2018,229.63,,7/19/2018,49.85,,7/19/2018,68.99,,7/19/2018,29.67,,7/19/2018,56.33
7/20/2018,111.28,,7/20/2018,231.69,,7/20/2018,50.27,,7/20/2018,69.22,,7/20/2018,30.13,,7/20/2018,56.41
7/23/2018,113.35,,7/23/2018,233.76,,7/23/2018,50.74,,7/23/2018,70.21,,7/23/2018,30.75,,7/23/2018,58
7/24/2018,114.15,,7/24/2018,235.88,,7/24/2018,50.98,,7/24/2018,71.07,,7/24/2018,30.83,,7/24/2018,58.35
7/25/2018,115.18,,7/25/2018,236.69,,7/25/2018,51.04,,7/25/2018,71.72,,7/25/2018,31.07,,7/25/2018,58.23
7/26/2018,114.85,,7/26/2018,237.11,,7/26/2018,50.99,,7/26/2018,71.34,,7/26/2018,30.94,,7/26/2018,58.31
7/27/2018,116.03,,7/27/2018,237.64,,7/27/2018,51.05,,7/27/2018,71.69,,7/27/2018,31.06,,7/27/2018,58.63
7/30/2018,116.73,,7/30/2018,238.95,,7/30/2018,50.9,,7/30/2018,72.29,,7/30/2018,31.31,,7/30/2018,58.49
7/31/2018,114.95,,7/31/2018,237.43,,7/31/2018,50.56,,7/31/2018,71.89,,7/31/2018,30.88,,7/31/2018,57.29
08/01/2018,115.66,,08/01/2018,236.04,,08/01/2018,50.18,,08/01/2018,71.93,,08/01/2018,31.25,,08/01/2018,57.65
08/02/2018,116.15,,08/02/2018,233.99,,08/02/2018,49.81,,08/02/2018,71.84,,08/02/2018,31.28,,08/02/2018,58.29
08/03/2018,117.09,,08/03/2018,234.09,,08/03/2018,49.91,,08/03/2018,72.39,,08/03/2018,31.51,,08/03/2018,58.83
08/06/2018,117.12,,08/06/2018,235.93,,08/06/2018,49.99,,08/06/2018,72.4,,08/06/2018,31.52,,08/06/2018,58.89
08/07/2018,117.55,,08/07/2018,237.83,,08/07/2018,50.13,,08/07/2018,72.41,,08/07/2018,31.51,,08/07/2018,58.82
08/08/2018,117.79,,08/08/2018,236.37,,08/08/2018,50.12,,08/08/2018,72.89,,08/08/2018,31.8,,08/08/2018,59.19
08/09/2018,116.88,,08/09/2018,233.78,,08/09/2018,49.44,,08/09/2018,71.98,,08/09/2018,31.6,,08/09/2018,58.44
08/10/2018,115.73,,08/10/2018,229.61,,08/10/2018,48.39,,08/10/2018,70.26,,08/10/2018,31.19,,08/10/2018,58.05
8/13/2018,113.89,,8/13/2018,226.86,,8/13/2018,47.35,,8/13/2018,69.16,,8/13/2018,30.48,,8/13/2018,57.61
8/14/2018,114.65,,8/14/2018,229.56,,8/14/2018,47.86,,8/14/2018,70.01,,8/14/2018,30.79,,8/14/2018,58.07
8/15/2018,113.7,,8/15/2018,229.25,,8/15/2018,47.45,,8/15/2018,68.65,,8/15/2018,30.36,,8/15/2018,57.99
8/16/2018,114.77,,8/16/2018,233,,8/16/2018,48.3,,8/16/2018,69.56,,8/16/2018,30.72,,8/16/2018,58.66
8/17/2018,114.77,,8/17/2018,233.38,,8/17/2018,48.37,,8/17/2018,69.67,,8/17/2018,30.74,,8/17/2018,58.86
8/20/2018,114.62,,8/20/2018,235.78,,8/20/2018,48.29,,8/20/2018,70.53,,8/20/2018,30.87,,8/20/2018,59.03
8/21/2018,115.32,,8/21/2018,238.65,,8/21/2018,48.54,,8/21/2018,71.24,,8/21/2018,31.02,,8/21/2018,58.96
8/22/2018,114.97,,8/22/2018,239.34,,8/22/2018,48.6,,8/22/2018,71.12,,8/22/2018,30.98,,8/22/2018,59.17
8/23/2018,114.73,,8/23/2018,236.34,,8/23/2018,48.13,,8/23/2018,70.81,,8/23/2018,30.84,,8/23/2018,58.62
8/24/2018,114.68,,8/24/2018,235.11,,8/24/2018,48.14,,8/24/2018,70.67,,8/24/2018,30.89,,8/24/2018,58.69
8/27/2018,116.71,,8/27/2018,242.6,,8/27/2018,49.89,,8/27/2018,72.39,,8/27/2018,31.31,,8/27/2018,59.1
8/28/2018,116.14,,8/28/2018,242.37,,8/28/2018,50,,8/28/2018,72.38,,8/28/2018,31.27,,8/28/2018,59.07
8/29/2018,115.76,,8/29/2018,241.4,,8/29/2018,49.95,,8/29/2018,72.53,,8/29/2018,31.14,,8/29/2018,58.96
8/30/2018,115.19,,8/30/2018,239.4,,8/30/2018,49.3,,8/30/2018,71.46,,8/30/2018,31.01,,8/30/2018,58.46
8/31/2018,114.58,,8/31/2018,237.81,,8/31/2018,48.83,,8/31/2018,71.24,,8/31/2018,30.93,,8/31/2018,58.48
09/04/2018,115.15,,09/04/2018,237.66,,09/04/2018,48.71,,09/04/2018,71.4,,09/04/2018,31.14,,09/04/2018,58.8
09/05/2018,114.59,,09/05/2018,237.56,,09/05/2018,48.72,,09/05/2018,71.17,,09/05/2018,31.18,,09/05/2018,58.95
09/06/2018,114.1,,09/06/2018,234.52,,09/06/2018,47.93,,09/06/2018,70.11,,09/06/2018,30.85,,09/06/2018,57.93
09/07/2018,114.32,,09/07/2018,233.91,,09/07/2018,48.22,,09/07/2018,69.64,,09/07/2018,30.86,,09/07/2018,57.4
09/10/2018,113.71,,09/10/2018,231.91,,09/10/2018,47.94,,09/10/2018,69.63,,09/10/2018,30.82,,09/10/2018,57.46
09/11/2018,114.43,,09/11/2018,230.21,,09/11/2018,47.86,,09/11/2018,69.43,,09/11/2018,30.85,,09/11/2018,57.38
09/12/2018,113.08,,09/12/2018,228.15,,09/12/2018,47.48,,09/12/2018,70.51,,09/12/2018,30.43,,09/12/2018,55.94
9/13/2018,113.52,,9/13/2018,228.33,,9/13/2018,47.72,,9/13/2018,70.15,,9/13/2018,30.14,,9/13/2018,55
9/14/2018,113.5,,9/14/2018,229.24,,9/14/2018,48.19,,9/14/2018,70.54,,9/14/2018,30.37,,9/14/2018,54.73
9/17/2018,113.84,,9/17/2018,227.89,,9/17/2018,47.68,,9/17/2018,70.88,,9/17/2018,30.28,,9/17/2018,54.31
9/18/2018,114.3,,9/18/2018,228.89,,9/18/2018,47.85,,9/18/2018,71.36,,9/18/2018,30.21,,9/18/2018,54.5
9/19/2018,117.62,,9/19/2018,235.58,,9/19/2018,49.1,,9/19/2018,73.72,,9/19/2018,31,,9/19/2018,55.22
9/20/2018,118.63,,9/20/2018,237.4,,9/20/2018,49.88,,9/20/2018,74.79,,9/20/2018,31.19,,9/20/2018,55.55
9/21/2018,117.85,,9/21/2018,235.34,,9/21/2018,49.41,,9/21/2018,74.15,,9/21/2018,31.03,,9/21/2018,54.99
9/24/2018,116.72,,9/24/2018,232.9,,9/24/2018,48.56,,9/24/2018,73.84,,9/24/2018,30.74,,9/24/2018,54.26
9/25/2018,116.39,,9/25/2018,232.5,,9/25/2018,48.28,,9/25/2018,73.51,,9/25/2018,30.67,,9/25/2018,54.23
9/26/2018,115.02,,9/26/2018,228.88,,9/26/2018,47.7,,9/26/2018,72.45,,9/26/2018,30.13,,9/26/2018,53.16
9/27/2018,114.52,,9/27/2018,227.74,,9/27/2018,47.77,,9/27/2018,72.95,,9/27/2018,29.94,,9/27/2018,52.82
9/28/2018,112.84,,9/28/2018,224.24,,9/28/2018,46.57,,9/28/2018,71.74,,9/28/2018,29.46,,9/28/2018,52.56
10/01/2018,113.5,,10/01/2018,225.33,,10/01/2018,46.63,,10/01/2018,71.93,,10/01/2018,29.65,,10/01/2018,52.25
10/02/2018,113.97,,10/02/2018,226.07,,10/02/2018,46.63,,10/02/2018,71.8,,10/02/2018,29.58,,10/02/2018,52.13
10/03/2018,115.04,,10/03/2018,227.78,,10/03/2018,47.11,,10/03/2018,72.36,,10/03/2018,30,,10/03/2018,52.65
10/04/2018,115.27,,10/04/2018,227.48,,10/04/2018,47.27,,10/04/2018,72.62,,10/04/2018,30.43,,10/04/2018,53.51
10/05/2018,114.62,,10/05/2018,225.71,,10/05/2018,46.75,,10/05/2018,72.42,,10/05/2018,30.23,,10/05/2018,53.19
10/08/2018,115.32,,10/08/2018,225.35,,10/08/2018,47.02,,10/08/2018,72.59,,10/08/2018,30.27,,10/08/2018,53.67
10/09/2018,114.52,,10/09/2018,222.91,,10/09/2018,46.16,,10/09/2018,71.89,,10/09/2018,29.98,,10/09/2018,53.53
10/10/2018,111.47,,10/10/2018,214.89,,10/10/2018,44.62,,10/10/2018,69.95,,10/10/2018,29.24,,10/10/2018,52.43
10/11/2018,108.13,,10/11/2018,212.97,,10/11/2018,43.49,,10/11/2018,68.38,,10/11/2018,28.36,,10/11/2018,51.44
10/12/2018,106.95,,10/12/2018,213.87,,10/12/2018,43.43,,10/12/2018,69.84,,10/12/2018,28.46,,10/12/2018,52.11
10/15/2018,106.34,,10/15/2018,215.22,,10/15/2018,43.47,,10/15/2018,69.21,,10/15/2018,27.92,,10/15/2018,53.24
10/16/2018,108.62,,10/16/2018,221.7,,10/16/2018,45.94,,10/16/2018,69.71,,10/16/2018,28.53,,10/16/2018,53.73
10/17/2018,109.83,,10/17/2018,228.28,,10/17/2018,47.19,,10/17/2018,69.84,,10/17/2018,28.9,,10/17/2018,54.46
10/18/2018,108.09,,10/18/2018,224.95,,10/18/2018,46.03,,10/18/2018,68.62,,10/18/2018,28.25,,10/18/2018,53.1
10/19/2018,107.91,,10/19/2018,226.96,,10/19/2018,46.42,,10/19/2018,68.86,,10/19/2018,28.32,,10/19/2018,52.89
10/22/2018,106.36,,10/22/2018,221.6,,10/22/2018,45.11,,10/22/2018,66.59,,10/22/2018,27.38,,10/22/2018,51.65
10/23/2018,105.25,,10/23/2018,218.56,,10/23/2018,44.52,,10/23/2018,65.73,,10/23/2018,27.02,,10/23/2018,51.56
10/24/2018,103.29,,10/24/2018,209.18,,10/24/2018,43.49,,10/24/2018,63.8,,10/24/2018,26.19,,10/24/2018,50.19
10/25/2018,104.86,,10/25/2018,214.01,,10/25/2018,44.55,,10/25/2018,64.97,,10/25/2018,26.59,,10/25/2018,51.86
10/26/2018,103.42,,10/26/2018,212.36,,10/26/2018,43.97,,10/26/2018,64.21,,10/26/2018,26.39,,10/26/2018,51.25
10/29/2018,104.85,,10/29/2018,214.49,,10/29/2018,43.95,,10/29/2018,64.35,,10/29/2018,26.61,,10/29/2018,52.23
10/30/2018,106.7,,10/30/2018,219.28,,10/30/2018,44.5,,10/30/2018,64.53,,10/30/2018,26.78,,10/30/2018,52.69
10/31/2018,109.02,,10/31/2018,225.37,,10/31/2018,45.66,,10/31/2018,65.46,,10/31/2018,27.5,,10/31/2018,53.23
11/01/2018,108.98,,11/01/2018,226.97,,11/01/2018,45.89,,11/01/2018,65.83,,11/01/2018,27.81,,11/01/2018,53.56
11/02/2018,108.38,,11/02/2018,229.69,,11/02/2018,45.95,,11/02/2018,65.92,,11/02/2018,27.89,,11/02/2018,53.61
11/05/2018,109.09,,11/05/2018,228.72,,11/05/2018,45.82,,11/05/2018,67.3,,11/05/2018,28.06,,11/05/2018,53.66
11/06/2018,109.6,,11/06/2018,228.2,,11/06/2018,45.72,,11/06/2018,66.68,,11/06/2018,28.21,,11/06/2018,53.55
11/07/2018,111.48,,11/07/2018,231.28,,11/07/2018,46.61,,11/07/2018,68.26,,11/07/2018,28.54,,11/07/2018,53.58
11/08/2018,112.38,,11/08/2018,231.65,,11/08/2018,46.43,,11/08/2018,67.78,,11/08/2018,28.87,,11/08/2018,53.16
11/09/2018,111.29,,11/09/2018,222.65,,11/09/2018,45.73,,11/09/2018,65.76,,11/09/2018,28.52,,11/09/2018,53.04
11/12/2018,108.95,,11/12/2018,206.05,,11/12/2018,44.13,,11/12/2018,64.21,,11/12/2018,27.75,,11/12/2018,52.35
11/13/2018,109.59,,11/13/2018,205.05,,11/13/2018,44.68,,11/13/2018,64.78,,11/13/2018,27.76,,11/13/2018,52.74
11/14/2018,107.33,,11/14/2018,202.49,,11/14/2018,43.85,,11/14/2018,63.5,,11/14/2018,27.21,,11/14/2018,52.15
11/15/2018,110.07,,11/15/2018,203.74,,11/15/2018,44.3,,11/15/2018,64.6,,11/15/2018,27.9,,11/15/2018,52.82
11/16/2018,109.99,,11/16/2018,202.12,,11/16/2018,44.13,,11/16/2018,64.95,,11/16/2018,27.75,,11/16/2018,52.94
11/19/2018,110.83,,11/19/2018,198.22,,11/19/2018,44.41,,11/19/2018,64.62,,11/19/2018,27.75,,11/19/2018,53.32
11/20/2018,108.45,,11/20/2018,191.34,,11/20/2018,43.1,,11/20/2018,62.53,,11/20/2018,27.38,,11/20/2018,52.54
11/21/2018,107.64,,11/21/2018,192.6,,11/21/2018,43.73,,11/21/2018,62.87,,11/21/2018,27.27,,11/21/2018,52.43
11/23/2018,106.65,,11/23/2018,189.1,,11/23/2018,43.08,,11/23/2018,61.75,,11/23/2018,26.97,,11/23/2018,51.83
11/26/2018,109.26,,11/26/2018,194.34,,11/26/2018,44.28,,11/26/2018,63.73,,11/26/2018,27.56,,11/26/2018,52.88
11/27/2018,109.72,,11/27/2018,193.65,,11/27/2018,44.05,,11/27/2018,63.46,,11/27/2018,27.74,,11/27/2018,53.19
11/28/2018,110.94,,11/28/2018,198.35,,11/28/2018,45.31,,11/28/2018,65.58,,11/28/2018,28.43,,11/28/2018,54.35
11/29/2018,110.06,,11/29/2018,194.85,,11/29/2018,44.51,,11/29/2018,64.9,,11/29/2018,28.04,,11/29/2018,54.04
11/30/2018,111.19,,11/30/2018,190.69,,11/30/2018,44.39,,11/30/2018,64.79,,11/30/2018,28.4,,11/30/2018,54.28
12/03/2018,112.24,,12/03/2018,191.63,,12/03/2018,45.41,,12/03/2018,65.16,,12/03/2018,28.54,,12/03/2018,54.24
12/04/2018,107.23,,12/04/2018,184.31,,12/04/2018,43.12,,12/04/2018,62.26,,12/04/2018,26.99,,12/04/2018,51.78
12/06/2018,105.19,,12/06/2018,184.09,,12/06/2018,42.61,,12/06/2018,60.06,,12/06/2018,26.28,,12/06/2018,51.09
12/07/2018,103.29,,12/07/2018,179.67,,12/07/2018,41.32,,12/07/2018,58.35,,12/07/2018,25.43,,12/07/2018,50.26
12/10/2018,101.36,,12/10/2018,178.83,,12/10/2018,40.71,,12/10/2018,57.07,,12/10/2018,24.76,,12/10/2018,48.8
12/11/2018,100.37,,12/11/2018,176.8,,12/11/2018,40.62,,12/11/2018,56.22,,12/11/2018,24.58,,12/11/2018,47.76
12/12/2018,101.02,,12/12/2018,176.7,,12/12/2018,40.81,,12/12/2018,55.98,,12/12/2018,24.52,,12/12/2018,47.74
12/13/2018,101.12,,12/13/2018,175.92,,12/13/2018,40.6,,12/13/2018,55.77,,12/13/2018,24.4,,12/13/2018,47.03
12/14/2018,100.29,,12/14/2018,172.77,,12/14/2018,39.64,,12/14/2018,55.02,,12/14/2018,24.48,,12/14/2018,46.54
12/17/2018,99.01,,12/17/2018,168.01,,12/17/2018,39.6,,12/17/2018,54.25,,12/17/2018,24.47,,12/17/2018,46.61
12/18/2018,98.54,,12/18/2018,171.5,,12/18/2018,39.89,,12/18/2018,53.93,,12/18/2018,24.47,,12/18/2018,46.52
12/19/2018,97.29,,12/19/2018,169.25,,12/19/2018,39.3,,12/19/2018,52.82,,12/19/2018,24.18,,12/19/2018,45.67
12/20/2018,96.45,,12/20/2018,168.41,,12/20/2018,38.91,,12/20/2018,52.27,,12/20/2018,24.11,,12/20/2018,46.04
12/21/2018,94.17,,12/21/2018,160.05,,12/21/2018,37.68,,12/21/2018,50.24,,12/21/2018,23.37,,12/21/2018,45.12
12/24/2018,92.14,,12/24/2018,156.35,,12/24/2018,37.01,,12/24/2018,49.26,,12/24/2018,22.73,,12/24/2018,43.6
12/26/2018,95.96,,12/26/2018,162.93,,12/26/2018,39.3,,12/26/2018,51.44,,12/26/2018,24.11,,12/26/2018,45.59
12/27/2018,97.04,,12/27/2018,165.41,,12/27/2018,39.66,,12/27/2018,51.77,,12/27/2018,24.37,,12/27/2018,45.53
12/28/2018,96.83,,12/28/2018,163.03,,12/28/2018,39.37,,12/28/2018,51.83,,12/28/2018,24.39,,12/28/2018,45.78
12/31/2018,97.62,,12/31/2018,167.05,,12/31/2018,39.65,,12/31/2018,52.06,,12/31/2018,24.64,,12/31/2018,46.08
01/02/2019,99.31,,01/02/2019,172.03,,01/02/2019,40.4,,01/02/2019,53.53,,01/02/2019,24.96,,01/02/2019,46.94
01/03/2019,97.11,,01/03/2019,169.51,,01/03/2019,39.68,,01/03/2019,52.56,,01/03/2019,24.56,,01/03/2019,46.57
01/04/2019,100.69,,01/04/2019,175.05,,01/04/2019,41.3,,01/04/2019,55.13,,01/04/2019,25.58,,01/04/2019,47.95
01/07/2019,100.76,,01/07/2019,176.02,,01/07/2019,41.71,,01/07/2019,55.61,,01/07/2019,25.56,,01/07/2019,47.64
01/08/2019,100.57,,01/08/2019,175.37,,01/08/2019,41.45,,01/08/2019,55.46,,01/08/2019,25.51,,01/08/2019,47.54
01/09/2019,100.4,,01/09/2019,176.47,,01/09/2019,41.74,,01/09/2019,56.38,,01/09/2019,25.76,,01/09/2019,47.8
01/10/2019,100.39,,01/10/2019,176,,01/10/2019,41.66,,01/10/2019,56.44,,01/10/2019,25.73,,01/10/2019,47.75
01/11/2019,99.91,,01/11/2019,176.93,,01/11/2019,41.74,,01/11/2019,56.69,,01/11/2019,26.03,,01/11/2019,47.87
1/14/2019,100.94,,1/14/2019,178.72,,1/14/2019,42.48,,1/14/2019,58.93,,1/14/2019,26.37,,1/14/2019,48.42
